Time [s],Channel 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.701935667,0,,0.701935667,,701935.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.702553042,1,,0.000617375,,617.375,,617,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720474833,0,,0.017921791,,17921.791,,17921,,"617,17921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.723487875,1,,0.003013042,,3013.042,,3013,,"617,17921,3013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.732427917,0,,0.008940042,,8940.042,,8940,,"617,17921,3013,8940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.732966417,1,,0.0005385,,538.5,,538,,"617,17921,3013,8940,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.733420708,0,,0.000454291,,454.291,,454,,"617,17921,3013,8940,538,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.733960083,1,,0.000539375,,539.375,,539,,"617,17921,3013,8940,538,454,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.735420542,0,,0.001460459,,1460.459,,1460,,"617,17921,3013,8940,538,454,539,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.73595475,1,,0.000534208,,534.208,,534,,"617,17921,3013,8940,538,454,539,1460,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.736414667,0,,0.000459917,,459.917,,459,,"617,17921,3013,8940,538,454,539,1460,534,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7369485,1,,0.000533833,,533.833,,533,,"617,17921,3013,8940,538,454,539,1460,534,459,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.737434958,0,,0.000486458,,486.458,,486,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.737943625,1,,0.000508667,,508.667,,508,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.738431958,0,,0.000488333,,488.333,,488,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.738941958,1,,0.00051,,510,,509,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.739429458,0,,0.0004875,,487.5,,487,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.739936792,1,,0.000507334,,507.334,,507,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.740426333,0,,0.000489541,,489.541,,489,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.740890292,1,,0.000463959,,463.959,,463,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.741421125,0,,0.000530833,,530.833,,530,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.741913333,1,,0.000492208,,492.208,,492,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.742419708,0,,0.000506375,,506.375,,506,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.742914083,1,,0.000494375,,494.375,,494,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.744410875,0,,0.001496792,,1496.792,,1496,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.744940917,1,,0.000530042,,530.042,,530,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.745405208,0,,0.000464291,,464.291,,464,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.745939875,1,,0.000534667,,534.667,,534,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.746399875,0,,0.00046,,460,,460,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.746938417,1,,0.000538542,,538.542,,538,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.748394583,0,,0.001456166,,1456.166,,1456,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.748926792,1,,0.000532209,,532.209,,532,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.749391208,0,,0.000464416,,464.416,,464,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.749923167,1,,0.000531959,,531.959,,531,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750389208,0,,0.000466041,,466.041,,466,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750919667,1,,0.000530459,,530.459,,530,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.752380125,0,,0.001460458,,1460.458,,1460,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.752911875,1,,0.00053175,,531.75,,531,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
