Time [s],CLK,,DIFF,,MULTIPLE,,,,
0,1,,,,,,,,
0.661796083,0,,0.661796083,,,,,,
0.662439333,1,,0.00064325,,643.25,,643,,643
0.680238708,0,,0.017799375,,17799.375,,17799,,"6,43,17,799"
0.683255958,1,,0.00301725,,3017.25,,3017,,"6,43,17,79,93,017"
0.692195208,0,,0.00893925,,8939.25,,8939,,"6,43,17,79,93,01,78,930"
0.6927325,1,,0.000537292,,537.292,,537,,"64,31,77,99,30,17,89,30,000"
0.693182917,0,,0.000450417,,450.417,,450,,"6,43,17,79,93,01,78,93,00,00,000"
0.693728583,1,,0.000545666,,545.666,,546,,"64,31,77,99,30,17,89,30,00,00,00,000"
0.695181625,0,,0.001453042,,1453.042,,1453,,"64,31,77,99,30,17,89,30,00,00,00,00,00,000"
0.695719667,1,,0.000538042,,538.042,,538,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,000"
0.696173083,0,,0.000453416,,453.416,,453,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,000"
0.696716625,1,,0.000543542,,543.542,,544,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,000"
0.697115542,0,,0.000398917,,398.917,,399,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,000"
0.697713042,1,,0.0005975,,597.5,,597,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.698163458,0,,0.000450416,,450.416,,450,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.698708833,1,,0.000545375,,545.375,,545,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.699167333,0,,0.0004585,,458.5,,459,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.699705583,1,,0.00053825,,538.25,,538,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.700162542,0,,0.000456959,,456.959,,457,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.700700833,1,,0.000538291,,538.291,,538,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.701163958,0,,0.000463125,,463.125,,463,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.7016975,1,,0.000533542,,533.542,,534,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.70215825,0,,0.00046075,,460.75,,461,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.702692875,1,,0.000534625,,534.625,,535,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.704171833,0,,0.001478958,,1478.958,,1479,,"6,43,17,79,93,01,78,93,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
0.704684875,1,,0.000513042,,513.042,,513,,"64,31,77,99,30,17,89,30,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000"
